"Product ID","Air temperature [K]","Process temperature [K]","Rotational speed [rpm]","Torque [Nm]","Tool wear [min]","Failure Type"
"M14860","298.1","308.6","1551","42.8","0","No Failure"
"L47181","298.2","308.7","1408","46.3","3","No Failure"
"L47182","298.1","308.5","1498","49.4","5","No Failure"
"L47183","298.2","308.6","1433","39.5","7","No Failure"
"L47184","298.2","308.7","1408","40.0","9","No Failure"
"M14865","298.1","308.6","1425","41.9","11","No Failure"
"L47186","298.1","308.6","1558","42.4","14","No Failure"
"L47187","298.1","308.6","1527","40.2","16","No Failure"
"M14868","298.3","308.7","1667","28.6","18","No Failure"
"M14869","298.5","309.0","1741","28.0","21","No Failure"
"H29424","298.4","308.9","1782","23.9","24","No Failure"
"H29425","298.6","309.1","1423","44.3","29","No Failure"
"M14872","298.6","309.1","1339","51.1","34","No Failure"
"M14873","298.6","309.2","1742","30.0","37","No Failure"
"L47194","298.6","309.2","2035","19.6","40","No Failure"
"L47195","298.6","309.2","1542","48.4","42","No Failure"
"M14876","298.6","309.2","1311","46.6","44","No Failure"
"M14877","298.7","309.2","1410","45.6","47","No Failure"
"H29432","298.8","309.2","1306","54.5","50","No Failure"
"M14879","298.9","309.3","1632","32.5","55","No Failure"
"H29434","298.9","309.3","1375","42.7","58","No Failure"
"L47201","298.8","309.3","1450","44.8","63","No Failure"
"M14882","298.9","309.3","1581","30.7","65","No Failure"
"L47203","299.0","309.4","1758","25.7","68","No Failure"
"M14884","299.0","309.4","1561","37.3","70","No Failure"
"L47205","299.0","309.5","1861","23.3","73","No Failure"
"L47206","299.1","309.5","1512","39.0","75","No Failure"
"H29441","299.1","309.4","1811","24.6","77","No Failure"
"L47208","299.1","309.4","1439","44.2","82","No Failure"
"L47209","299.0","309.4","1693","30.1","84","No Failure"
"M14890","299.1","309.5","1339","48.2","86","No Failure"
"L47211","299.0","309.4","1798","25.5","89","No Failure"
"L47212","299.0","309.4","1419","48.3","91","No Failure"
"L47213","298.9","309.3","1665","32.5","93","No Failure"
"M14894","298.8","309.1","1559","34.7","95","No Failure"
"M14895","298.8","309.2","1452","48.6","98","No Failure"
"M14896","298.9","309.2","1581","36.7","101","No Failure"
"L47217","298.8","309.1","1439","39.2","104","No Failure"
"H29452","298.9","309.2","1379","50.7","106","No Failure"
"L47219","298.8","309.1","1350","52.5","111","No Failure"
"L47220","298.8","309.1","1362","45.4","113","No Failure"
"L47221","298.8","309.1","1368","50.8","115","No Failure"
"M14902","298.8","309.1","1368","49.1","117","No Failure"
"H29457","298.8","309.2","1372","48.5","120","No Failure"
"M14904","298.8","309.1","1472","47.5","125","No Failure"
"L47225","298.8","309.1","1489","49.1","128","No Failure"
"M14906","298.7","309.0","1843","25.8","130","No Failure"
"L47227","298.8","309.1","1418","46.3","133","No Failure"
"H29462","298.8","309.2","1425","53.9","135","No Failure"
"M14909","298.9","309.2","1412","44.1","140","No Failure"
"L47230","298.9","309.1","2861","4.6","143","Power Failure"
"L47231","298.9","309.1","1383","54.9","145","No Failure"
"H29466","298.8","309.0","1497","43.8","147","No Failure"
"L47233","298.7","309.0","1565","35.1","152","No Failure"
"L47234","298.7","309.0","1691","30.1","154","No Failure"
"L47235","298.8","309.1","1512","40.7","156","No Failure"
"L47236","298.8","309.1","1477","42.4","158","No Failure"
"L47237","298.8","309.1","1513","40.3","160","No Failure"
"M14918","298.8","309.0","1661","29.5","162","No Failure"
"L47239","298.8","309.1","1378","54.4","165","No Failure"
"L47240","298.8","309.1","1393","52.6","167","No Failure"
"M14921","298.8","309.0","1592","38.2","169","No Failure"
"L47242","298.8","309.0","1829","22.9","172","No Failure"
"M14923","298.9","309.0","1812","25.9","174","No Failure"
"L47244","299.0","309.1","1523","38.6","177","No Failure"
"L47245","299.0","309.1","1394","45.1","179","No Failure"
"M14926","298.9","308.9","1679","28.7","181","No Failure"
"H29481","298.8","308.9","1466","44.1","184","No Failure"
"L47248","298.8","308.9","1527","32.4","189","No Failure"
